RNA36.Aligned.sorted	RNA66.Aligned.sorted	RNA32.Aligned.sorted	RNA74.Aligned.sorted	RNA88.Aligned.sorted	RNA21.Aligned.sorted	RNA85.Aligned.sorted	RNA28.Aligned.sorted	RNA43.Aligned.sorted	RNA23.Aligned.sorted	RNA41.Aligned.sorted	RNA81.Aligned.sorted	RNA5.Aligned.sorted	RNA59.Aligned.sorted	RNA62.Aligned.sorted	RNA18.Aligned.sorted	RNA47.Aligned.sorted	RNA63.Aligned.sorted	RNA91.Aligned.sorted	RNA70.Aligned.sorted	RNA57.Aligned.sorted	RNA9.Aligned.sorted	RNA38.Aligned.sorted	RNA14.Aligned.sorted	RNA78.Aligned.sorted
1:11018466:11018733:clu_2_+	0.391742735217024	0.842039197034631	0.842932493943504	0.544903838149757	0.659150614649596	0.907638578629586	0.946422732041687	0.868608317253629	0.182148804037874	0.805087468271253	0.862067109656462	0.786433898733021	0.253128354185467	0.811752220647051	0.910683880722601	0.76469631509628	0.884845919362742	0.272221510773725	0.712586106990515	0.22380964555463	0.945338485054531	0.736788103716753	0.365916308656641	0.875644053014155	0.858366368706909
1:11018873:11020263:clu_2_+	1	1	1	0.307209144590085	8.06508620909696e-06	1	1	1	1	0.966083541157193	1	0.947816157412244	1	0.972589258633639	1	0.926416861776572	1	1	0.874607473003854	0.990053477838766	1	0.425088877257716	0.937769010787519	0.974228218569104	1
1:11018873:11020429:clu_2_+	0.0827626167781998	0.0988671733503033	0.0247969784618609	0.412211734782424	0.972475596873287	0.641702719773117	0.377511485417151	0.711954520976225	0.422331501539955	0.107858704162068	0.0735025792692853	0.241713304018528	0.606418882054638	0.000287504269970151	0.257658177296773	0.781300037470898	0.0177419241678576	0.136376552403841	0.831915850291375	0.0375516645623128	1	0.045430473724186	0.0019194854822151	0.797582747402775	0.0346054697690891
1:11018873:11020434:clu_2_+	1	1	1	0.778110900850486	1.77635683940025e-15	1	1	1	1	0.993169416949599	1	0.975042526286856	1	0.999621856792488	1	0.953790519742874	1	1	0.902258456565685	1	1	0.926297166826808	0.965066874441495	1	1
1:11018873:11022124:clu_2_+	0.636887433684881	1	0.465520203562144	1	1	1	1	0.650891828148151	1	1	1	0.965875281235379	1	0.990522974523054	1	1	1	1	0.89293843841178	1	0.577564515274922	0.917019241388079	0.955874262236005	0.992153057439882	1
1:11020301:11020429:clu_2_+	1	1	1	0.169121259491231	0.9635981692308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1:11020599:11022124:clu_2_+	0.0328911988367281	0.0611331289129409	0.00424556461384307	0.0167481494275576	0.976469699736438	0.0675519479078263	0.0980204895147139	0.539731369106926	0.534349557446519	0.99142202732027	0.164440494325605	0.0517360633461341	0.831089862698735	0.0534751437731977	0.961828519041903	0.0221558580605412	0.0167465373727593	0.303795675756321	0.621597898950327	0.00467810432162818	0.0200232108934544	0.263935876951869	0.478792542946171	0.981715055582135	0.508368479625986
1:11020599:11029687:clu_2_+	1	1	1	1	0.952545576628667	1	0.126823703360614	1	1	1	1	1	0.814463967559383	1	1	1	1	1	1	1	1	1	1	1	1
1:11022177:11023156:clu_2_+	1	1	0.621885751006649	0.982201510110617	0.904566353686955	0.857085905501508	1	1	1	1	1	1	1	1	0.559153782738224	1	1	0.585315315110785	1	1	1	0.981507093436661	1	1	1
1:11022177:11023193:clu_2_+	1	0.917808038982336	0.918692224240904	1	1	1	0.979494344117361	1	0.965835198304669	0.881148904046738	0.937609016117041	0.434317348668122	0.702080651639066	0.887773189178743	0.985482053028608	0.840883774760752	0.960072895125989	0.727903032706656	0.788621821895244	0.905583778981292	0.443029066832647	0.812939559589588	1	1	0.752950858867505
1:11022241:11023193:clu_2_+	0.874512467556888	0.218435924081244	0.834502419938284	0.729091201599205	0.65086759839321	0.899273124141995	1	0.860197102294205	0.882310937477939	0.655052339674007	0.853650231953143	0.188793532439965	0.375109598312132	0.803311584626993	0.902322847525021	0.756266213786812	0.87645126681484	0.873545752693831	1	0.821262595918504	0.0672236042559691	0.728379835198561	0.688958078912155	0.804992601056639	0.421043000747701
1:11022250:11023193:clu_2_+	0.852360567047805	0.632310354480676	0.81228547348623	0.757289574097891	0.629152635971745	0.267234974541727	0.7563279737585	0.838015224568434	0.860178468390365	0.774422617286068	0.609744672179608	0.272926254554541	0.876174370844063	0.485433607490428	0.880250134670044	0.734096062697125	0.854303993842914	0.587783418365738	0.68220226851245	0.237574249597826	0.757512500934412	0.706284671887567	0.745584860105027	0.782765682313907	0.827747772256824
1:11022250:11023263:clu_2_+	0.357075821652828	0.526243163393542	0.607278865834027	0.488875256293309	0.152645345578081	0.822641317013375	0.658795794204188	0.826026975513207	0.871688766946756	0.406667653397054	0.195603536855548	0.333993145315464	0.825549644239045	0.891664186467701	0.605267984206656	0.459252605343131	0.888783496170921	0.684121003101806	0.352363456904134	0.412222157843231	1	0.036574514105103	0.393099282658348	0.789067468615603	0.684111610717698
1:11022250:11023293:clu_2_+	1	1	1	1	0.963598148768089	1	1	1	1	1	1	1	1	1	1	1	1	1	0.184048186307629	1	1	1	1	1	1
1:11022250:11029687:clu_2_+	1	1	1	1	0.959881471028074	1	1	1	1	0.0923761490258088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1:11022268:11023193:clu_2_+	1	1	1	0.991463795290188	0.91401139856919	1	1	1	0.376271835876249	1	1	1	1	1	1	0.690830495400186	1	1	0.967115750746703	1	1	0.36621017668602	1	1	1
1:11025208:11025551:clu_2_+	0.486252279700942	0.726435071165373	1	1	0.923010190199397	0.508923298712658	1	0.575427387193779	0.545837419630356	0.68159796761072	0.128093678011719	0.659183681430586	0.806035776722449	0.689643212445964	0.921342588800817	0.383985135787767	0.957253282421928	0.30591267382625	0.79896204810526	1	1	0.769116529474148	1	0.837685631433567	0.589432319910738
1:11025208:11029687:clu_2_+	0.715507189735518	0.6749139267499	0.759247055340551	0.573362721556911	0.499518862359891	0.343894990083164	1	0.727181594046136	0.723298949648716	0.451774385119548	0.389433831993706	1	1	0.645150076773104	0.743369536772559	0.59945770545636	0.717442763795013	0.369109166659521	0.827447723330579	0.576781487860563	0.634999230201478	0.572682619652885	0.363342202435715	0.596809174782967	1
1:11025208:11030179:clu_2_+	1	1	1	0.934525317926856	0.856121104014671	1	1	1	1	1	1	0.982472884899065	0.600428323415736	1	1	0.961265378289819	1	0.188233544804518	0.798232009030744	1	1	0.933822023313254	0.517292598549964	1	0.646787328001041
1:11025665:11029687:clu_2_+	1	0.893655811927697	1	1	0.930313032802303	0.542536449223802	0.798839664191778	0.577487900211282	1	1	1	1	1	1	1	1	1	1	0.983199824660959	1	1	1	1	1	1
1:11029781:11029902:clu_2_+	1	0.648615110418116	0.649491032758932	1	0.964770038045955	0.704859935407513	1	0.401130555626277	0.696725793716829	0.350357189337285	1	1	1	0.826404587502183	0.357942404051875	0.684854893124931	1	0.688010083501434	0.524670141697179	0.942345196793636	0.751697767101781	0.547380478752247	0.876893974713401	0.462724055356568	0.56528837956214
1:11029781:11030179:clu_2_+	1	1	1	0.990908443391649	0.932016515668157	1	0.507791322417998	1	1	1	0.259575867666663	1	1	1	1	1	1	1	0.984879329639808	1	1	1	1	1	1
1:11023329:11023867:clu_3_+	0.765531794637857	1	1	1	1	0.900183131663649	0.900183131663649	0.996864417573746	0.757120894248023	0.034257153245316	1	0.900183131663649	1	0.652101994162161	1	0.586773483220134	1	1	0.345606053287192	0.0758624677969053	1	1	1	0.472978313545838	0.900183131663649
1:11023329:11024064:clu_3_+	0.410928863671504	0.612618188558884	1	0.904377654856056	0.659476352911258	0.694922126727492	0.216156060797335	0.0844428727492353	0.666933389778676	0.19818934036262	0.429064176049173	0.694922126727492	1	1	0.588270250346746	0.942203194892666	0.0491620716394878	0.918014588384016	0.143638388979424	0.612618188558884	0.294656440849732	0.949647062026777	0.949647062026777	1	0.394908739631049
1:11023329:11024302:clu_3_+	0.0939976035149199	1	1	0.882041933916202	1	0.900850087168326	0.900850087168326	0.0328900300485915	1	0.756544249311676	1	1	1	0.147066723422781	1	0.587412271629274	1	0.337176137002753	1	1	1	1	1	1	0.900850087168326
1:11023329:11025110:clu_3_+	1	1	1	1	1	1	1	1	1	1	0.0231472015353753	1	1	0.892086159394065	0.930380742852767	1	1	0.542789832789663	1	1	1	1	1	0.724119044140709	0.8672472816252
1:11023667:11024064:clu_3_+	1	1	1	1	1	1	1	1	1	1	1	1	1	0.822698325635819	0.978832767926576	0.462570673376121	1	0.479391966978855	0.977809623361062	1	1	1	0.559227232255731	1	0.0871092698135212
1:11024335:11025110:clu_3_+	0.128769957727763	0.163609106168452	0.772051800009011	1	0.923943037164566	0.10255009157348	1	1	0.680739080232881	0.680739080232881	0.953155369260947	0.21050141931702	0.591495696456893	0.944968519306714	1	0.427619886766107	0.331087747332669	0.058082261595618	0.0190536945782595	1	0.829370696091015	1	0.805863850465066	0.71724057484355	0.932558861600787
1:94021951:94023386:clu_4_-	0.804463583000039	0.706202253199532	1	0.753206833174839	0.360799118728906	0.905595270409031	0.911814282293759	0.961074310311679	1	0.957622178283584	0.886806747817764	0.939091764090234	0.840040149779971	0.428184586198081	0.958527000559072	0.862326624793469	1	0.711009985205861	0.939091764090234	0.969091879842297	0.752870797521056	0.421023233534922	1	0.663501085604671	0.564911133378355
1:94021951:94030996:clu_4_-	0.999572374380765	0.355457122479514	0.943649040616598	0.291994251894064	0.973524564759719	0.968442732583862	0.919843887944159	0.93401114514331	1	0.943649040616598	1	0.27225077641332	0.268315092158789	0.943649040616598	0.943649040616598	0.883690732046946	0.95840340378011	1	0.994276223402684	0.983814672073924	0.929250505537212	0.973524564759719	0.989023801386075	0.95840340378011	0.0175215963585145
1:94030526:94030996:clu_4_-	0.706883629053582	0.896069802910823	0.930055700954559	0.53987152811875	0.435042526192047	0.799945011764476	1	0.848985350519769	0.923550990926606	0.847059681140949	0.986483307484405	0.89766685560927	0.601287742825957	0.351853811028903	1	0.745532928756566	0.971091217408115	0.808053724095767	0.836714763345487	1	0.863207686840598	0.502084917612166	0.969400634495134	0.567628611672926	0.791367765063201
1:94029627:94030428:clu_5_-	0.96247274384179	0.777974403615314	0.936391827539277	0.511472878490441	0.901645356221864	0.951909934886465	0.882667458147752	0.936391827539277	0.946694184002482	0.816710558277454	0.868833438810749	0.393713747846323	0.521073067760551	0.887354107157741	0.967820677349222	0.989666313298925	0.804436079073486	0.0187688728040061	0.887354107157741	0.957169309514613	0.906487511390106	0.901645356221864	0.946694184002482	0.941521624478323	0.00521750069872451
1:94029631:94030428:clu_5_-	0.813808253519917	0.946334978641375	0.78298997247337	0.686014805529325	0.923448816903318	0.74349416050842	0.175623789660334	0.700192762787262	0.546114295156188	0.437952045603076	0.815000626150083	0.898810779853116	0.479736340776441	0.86630469438503	0.874235336541644	0.698211475457404	0.955657593708659	0.827351930429422	0.887322369925092	0.873164254194102	0.31137474989297	0.909177339724766	0.785937236821335	0.823106600244692	0.651107148472593
1:94029631:94031778:clu_5_-	1	0.431282364754652	1	0.647347495474505	1	1	1	1	1	0.944510151993538	0.995513292673682	0.71131447435421	0.656740918914889	1	1	1	0.93242144407523	0.969467717117482	1	1	1	1	1	1	0.0306145390212196
1:94031120:94031778:clu_5_-	0.63428633761485	0.75968701164462	0.599082360252495	0.879401908876621	0.718894430456439	0.934060575340523	0.277250055074212	0.52534137655923	0.720698900910574	0.284853136900034	0.610061883185275	0.677616945110233	0.644257718244325	1	1	0.874244951840616	0.722293000915049	0.633794539161747	0.68115437560324	1	0.45204525355771	0.964258231895107	0.980045747059729	0.636966370039292	0.154843292156388
1:94044744:94046919:clu_6_-	0.989175179199432	0.946090287160361	0.909508604747557	1	0.740469293285758	0.637055822512979	0.807635705182751	0.944236502609948	1	0.810000680642552	0.447416538603016	0.813226704602075	0.967535552182247	0.98380093786965	0.828273439045929	0.679208904355265	0.729036586996953	1	0.883763100555451	0.471416871550253	0.840384152307623	0.855850908839419	0.768279161350999	0.771546775837683	1
1:94045965:94046919:clu_6_-	0.989175179199444	0.946090287160353	0.909508604747552	1	0.740469293285768	0.637055822512997	0.80763570518274	0.944236502609964	1	0.810000680642551	0.447416538603025	0.813226704602069	0.967535552182249	0.983800937869639	0.828273439045923	0.679208904355258	0.729036586996946	1	0.88376310055544	0.471416871550244	0.840384152307638	0.85585090883943	0.768279161351009	0.771546775837668	1
1:94055315:94056601:clu_7_-	0.910903255656168	0.937190545352219	0.961945901918972	0.962797006370099	0.914151788895747	0.466125841984908	0.77154890742494	0.938231269877532	1	1	0.769696415836975	0.359852409195701	0.551111719169818	0.859275929998018	0.757300308367647	1	0.502427152940672	0.810792453842852	0.579182845854191	1	1	1	0.767026939642382	0.511362793314162	0.735930323739629
1:94055315:94060537:clu_7_-	0.668847009450176	0.868023278937349	1	0.711226082469743	0.876491625600139	0.950232873500092	0.902166223695843	0.872423955985048	0.973168874853169	0.893820898966755	0.734450541853197	0.556827180604543	0.896739916992726	0.873211258864656	0.716729637147653	0.876491625600139	0.758448151713085	0.923453861666342	0.949568834236553	0.522344034853002	0.734450541853197	0.948352108060702	0.686775603278103	0.902153722317835	0.445864304149355
1:94056822:94060537:clu_7_-	0.835756118124945	1	1	0.736497810002486	0.710477284672984	0.505349019303874	0.854385356599527	1	0.993557468647201	0.821639111766375	0.528707693260226	0.80570445396494	0.714302406955696	1	0.44107045956558	0.852627378228486	0.712937103912606	0.745685311974217	0.695669990211133	0.513366192335124	0.802615129373088	1	0.999118097192282	0.660607574015505	0.741790605986138
