RNA84.Aligned.sorted	RNA16.Aligned.sorted	RNA64.Aligned.sorted	RNA77.Aligned.sorted	RNA34.Aligned.sorted	RNA76.Aligned.sorted	RNA13.Aligned.sorted	RNA92.Aligned.sorted	RNA35.Aligned.sorted	RNA68.Aligned.sorted	RNA83.Aligned.sorted	RNA30.Aligned.sorted	RNA80.Aligned.sorted	RNA17.Aligned.sorted	RNA87.Aligned.sorted	RNA44.Aligned.sorted	RNA27.Aligned.sorted	RNA4.Aligned.sorted	RNA42.Aligned.sorted	RNA8.Aligned.sorted	RNA99.Aligned.sorted	RNA73.Aligned.sorted	RNA52.Aligned.sorted	RNA60.Aligned.sorted	RNA7.Aligned.sorted	RNA40.Aligned.sorted	RNA90.Aligned.sorted	RNA55.Aligned.sorted	RNA3.Aligned.sorted	RNA39.Aligned.sorted	RNA31.Aligned.sorted	RNA22.Aligned.sorted	RNA12.Aligned.sorted
1:11017007:11018380:clu_2_+	0.952881768077822	1	1	0.993406109658316	1	1	1	1	1	1	1	1	1	1	0.875874769116829	1	1	1	1	1	1	1.26657722960832e-05	1	0.872129783468412	1	0.999811083732205	1	0.982119383255087	1	0.967535755654104	1	1	1
1:11017007:11018733:clu_2_+	0.0591230040869324	0.455684324955852	0.226070563603465	0.0240879942744884	0.503998021279979	0.455597557997684	0.641440189305995	3.92557356590472e-05	0.104747612736773	0.00126499146727199	0.644689072077015	0.113668240835605	0.851459011704475	0.930674825293635	0.00153330755484795	0.0873270349258699	0.000971508475112515	0.311786120519319	0.203341527892132	0.999151143654229	0.0737796983571776	0.408946916999863	0.791140664518067	0.00640839377886326	0.282836207480483	0.000956767957345517	0.108513387820449	0.331166891008361	0.123660882525391	0.232738107324133	0.69989685225644	0.20442480172314	0.5717754943858
1:11017007:11020429:clu_2_+	0.85185235842689	0.948338434304796	1	0.893297951585633	1	1	0.952828127827717	0.931552000104224	0.922350979772846	0.954335141532526	0.0980823882011159	0.978385430243275	1	1	0.80845372579659	0.968138818746724	1	0.967360396284583	0.960416180841115	0.97048239292236	0.910617749964447	6.70157800364279e-06	0.941690762806259	0.770063620339984	1	0.899872385624032	1	0.881728358021491	0.0526167360755749	0.866809194021002	1	1	1
1:11018466:11018733:clu_2_+	0.726852090121959	0.589315920106608	0.682682561288075	0.565200084700033	0.735547392687165	0.790443268923688	0.623365483526328	0.602338424662788	1	0.624864878968513	0.122197575751821	0.434593564144506	1	0.695240874859888	0.454835381248907	0.883209723361297	0.726559834564801	1	0.573006423988929	0.880023356394504	0.786809030562674	0.424574688650693	0.612325502765714	0.451494434350336	0.690708052813886	0.437418839385294	0.366881366693991	0.554137966902223	0.0652288855015855	0.977488873769395	0.682682561288075	0.692514741861647	0.838330828563801
1:11018873:11020263:clu_2_+	0.938363509206864	1	1	0.979060242023412	1	1	1	1	1	1	1	1	1	1	0.000366312398888624	1	1	1	1	1	0.996002244486362	0.75618516341145	1	0.857376952516525	1	0.985495696518396	1	0.967721936089144	1	0.953075723801037	1	1	1
1:11018873:11020429:clu_2_+	0.759515366862966	0.337561125193137	0.742710543033436	0.115468263853781	0.0420704667377967	0.000128441140799795	0.323253881862282	0.00275447070469514	0.824475532694804	0.11268654648204	0.41348529073768	0.212347655706275	0.143719586340994	0.917350250455412	0.0497132888374431	0.010379464102249	0.153422607599071	0.373039876100821	0.768002626773073	0.167818472977678	0.312374031801301	0.062185632039048	0.923468975437115	0.162229683688212	0.819666172029745	8.10911342274956e-06	0.167544133358108	0.0540946913604927	0.54953519650746	0.0673187990223845	0.24462782702362	0.500940400572668	0.112679164127817
1:11018873:11020434:clu_2_+	0.86887171608564	0.965035675035525	1	0.0477663651668587	1	1	0.96950458020176	0.948322501856347	0.939158623185479	0.971004503820706	0.962818419741427	0.994934069339591	1	1	4.32271329842138e-10	0.984740627440333	1	0.983966139264548	0.977056362237002	0.987072267118352	0.927469626868314	0.489931464357966	0.958417861020512	0.787158553660771	1	0.916761665484216	1	0.898673971384309	1	0.883794621172262	1	1	1
1:11018873:11022124:clu_2_+	0.81774107877627	0.631010662470441	1	0.887150397277179	0.970226282184985	1	0.480086556298349	0.897828226573357	0.888565027747709	0.920784398798364	0.912494735707936	0.945046404438102	0.738343565920422	0.990775861259226	0.739687359074099	0.934705974188362	0.516869974411445	0.933920643202373	0.92691617058485	0.461397120112419	0.867368882939834	0.876075099195192	0.908040652020997	0.735925921123119	0.986342495137457	0.686821542592477	1	0.900428014197361	0.981078287979805	0.832744194655437	0.978468723811479	0.988110727326686	0.968177788996221
1:11020301:11020429:clu_2_+	0.979359087599434	1	0.867570611665806	1	1	1	1	1	1	1	1	1	1	1	0.902834425090363	1	1	1	1	1	1	0.416021490498826	1	0.899106718556933	1	1	1	1	1	0.993894625523976	1	1	1
1:11020599:11022124:clu_2_+	0.425800286988586	1	0.0736953258922775	0.00314326018796662	0.910853407292194	0.00147367156787522	0.944368179600743	0.496800488108134	0.515472911215291	0.484301915039546	0.491928839371198	0.46989512801123	0.229541909324225	0.801608433530196	0.0241784909310247	0.864612929520449	0.863826342851574	0.677832786858349	0.691850544077495	0.751730495949564	0.946589877821353	0.615527665255154	0.0134831423942572	0.262014595889543	0.21010584733576	0.0802297594103601	0.53161355996556	0.721951372345185	0.205063807572848	0.532231812832623	0.792160189172871	0.110879627191489	0.472958740464402
1:11022177:11023156:clu_3_+	1	0.842989073694101	0.818349705093457	1	1	1	0.977689639662277	0.868376984886546	1	0.764897890718752	0.963004395249125	1	0.739383826326127	1	1	0.0439304630390192	0.894528073602933	1	1	0.949172868722454	0.931883692296287	1	0.818349705093457	1	0.258691195745885	0.525801260883262	0.580300410770437	0.900103033058116	1	0.771254064447227	1	0.81512190139916	1
1:11022177:11023193:clu_3_+	0.577114212672876	0.639760834408279	0.555113771135721	0.901460075921342	1	0.835456028186607	0.774127500408105	1	1	0.95185218385591	0.405146556848088	0.648465490148633	1	1	0.740771373751137	0.984985165254461	1	0.912063351115962	1	0.421224114630982	1	1	0.299213479152785	0.776703047171087	0.372701574101165	0.804220357846563	0.745148826058375	0.901460075921342	1	0.570877503831985	0.93627365385963	0.957039571800791	1
1:11022241:11023193:clu_3_+	0.97397042871369	0.0218903280615519	0.653097463652054	0.93942405867112	0.93942405867112	0.873727641258301	0.812439786227019	0.702340189535026	0.97397042871369	0.445615737353274	1	1	0.629828372414941	0.348708557581969	1	0.95898000832841	1	0.165059444425251	1	1	0.906014983745847	0.20514073244155	0.653097463652054	0.783393878059163	1	0.842543116040663	0.783393878059163	0.93942405867112	0.000185442322362395	0.607422417941115	0.97397042871369	0.565085774479059	0.0489035817563042
1:11022241:11023263:clu_3_+	1	1	1	1	1	1	1	1	1	1	0.804583879618936	1	1	1	1	0.70322142477209	1	1	1	1	1	1	1	1	1	0.0177862690807928	1	1	0.896266281963336	1	1	0.966726986214486	1
1:11022250:11023161:clu_3_+	1	1	1	1	1	1	1	1	1	1	0.787567372493244	0.998614104295678	1	1	1	0.687695436304343	1	1	1	1	1	1	1	1	1	1	1	1	0.878102554950485	1	1	0.993328678288997	0.051345476930428
1:11022250:11023193:clu_3_+	0.173930587452875	0.408466799903259	0.116788411855699	0.729530962220548	0.780496785784657	0.236931606928593	0.604626171198136	0.501293237129944	1	0.879359253032597	1	0.115900808180221	0.768821185846778	1	1	1	0.525292184247525	0.921048739081917	0.839400086264385	0.148334724835102	0.696093862287992	0.839400086264385	0.456652420125076	0.307027591788948	1	0.633694995664815	0.57597306739812	0.729530962220548	1	0.416158784155339	0.764528980220173	0.542506491064035	0.96449482228476
1:11022250:11023263:clu_3_+	0.594020562376711	0.484650177846842	0.97788023586989	0.184028933030807	0.777542282356892	0.833815801436363	0.0779941053910016	0.0682301682121662	0.620072257592904	0.77346330685998	0.150618816544343	0.106854681483534	0.525670967734434	0.998653070956589	1	0.00600053569037722	0.158672650760473	0.234420976167066	0.336088896951135	0.522670873590977	0.805104968515065	1	0.269668749546758	0.968443567251312	0.429572379559456	0.767673734400501	0.791598762190444	0.331002598588311	0.000379483666099115	0.0126375111576058	0.395798198846218	0.507814164654707	0.0787810493240401
1:11022250:11023293:clu_3_+	1	1	1	1	1	1	1	1	1	1	0.83724077431833	1	0.982634540926551	1	1	0.733116746822874	1	0.219231642300012	1	1	0.0482457234276741	1	1	1	1	1	1	1	0.931011838813661	0.959902583478295	0.702080423572743	0.916023356631431	1
1:11023329:11023867:clu_4_+	0.479397668159806	1	1	1	0.770629647308999	0.861325923332077	1	0.231725022189415	1	0.878744630390339	1	0.83187075503386	1	0.878744630390339	1	0.0291093606330799	0.980075098744023	0.980075098744023	0.980075098744023	0.878744630390339	1	0.928126393336898	1	0.928126393336898	0.125526743715395	0.705511407228963	0.928126393336898	1	0.487990762537092	0.0690464091411269	0.878744630390339	1	1
1:11023329:11024064:clu_4_+	1	0.426183752246845	0.77187231696465	0.0551157050810638	0.341986124265023	0.488936888442725	1	1	0.11768254293808	0.546678708130811	0.880270781322586	0.435727197673452	0.51074760647163	0.164443398939188	0.531382199339584	0.365382100244599	0.635326050516212	0.635326050516212	0.187671761004887	0.505529486828825	0.513343406891551	0.584539867537304	0.77187231696465	0.921618891718712	0.257292664500972	1	0.248544508516741	0.287877372544569	0.0867500822707605	0.643952336051172	0.101303316382794	0.709793086047657	0.82785486109798
1:11023329:11024302:clu_4_+	1	1	0.882355323584253	1	0.833081892981816	0.754802830605464	1	1	1	0.965697373388698	1	0.281184760290629	1	0.549635251454035	1	0.0688005361894997	1	0.935187467780446	1	0.965697373388698	1	0.0833866600199804	1	1	0.965697373388698	0.792971220828935	1	1	0.754802830605464	0.638729246110783	0.249906152439573	1	1
1:11023329:11025110:clu_4_+	1	1	0.719489645539212	1	1	0.938647554948208	0.409640642389034	1	1	1	1	0.445489501117674	1	1	1	1	0.336902623053267	0.767313023349959	1	1	1	1	1	1	1	0.97622838187579	1	0.719489645539212	0.938647554948208	1	1	0.568495222320114	1
1:11023667:11024064:clu_4_+	0.354651279901117	1	1	1	0.924982238435626	1	1	0.849236362186746	0.240181715242417	1	0.315465167689213	1	1	1	1	1	1	1	1	1	1	1	0.798712328543124	1	1	0.885145173090195	1	1	0.847008087755802	0.556578309354846	0.204952541393043	1	1
1:11024335:11025110:clu_4_+	0.538763249335867	0.295245164760328	0.76754617546066	0.27018257434615	0.876856703812628	0.96997335834599	0.881598233959881	0.765043642834126	0.402565390079357	0.800777328617607	0.995720390315061	0.91257671413915	0.88100713241241	0.313470529128171	1	0.0807614665507355	0.765043642834126	0.765043642834126	0.765043642834126	0.0701725205083146	0.175368315652366	1	0.464625683701434	0.226602327555943	0.516689033728007	0.137123071427775	0.9906774690041	0.538763249335867	0.249530140137323	0.214740827969051	0.800777328617607	0.725962235317993	0.587363587358574
1:11025208:11025551:clu_5_+	0.899111323997457	1	0.757193367184463	0.399705411341792	1	1	0.185491045353726	1	0.601976306073395	0.445797014707854	0.525367098061783	0.626545443227525	0.601976306073395	0.899111323997457	0.787934083339972	1	0.839079930727547	0.899111323997457	0.839079930727547	1	0.134455253616224	0.626545443227525	0.268951983664014	0.76761147154117	0.656179713372623	1	1	0.359028358256473	0.839951830933207	1	0.839079930727547	0.899111323997457	0.76761147154117
1:11025208:11029687:clu_5_+	0.471099677104302	1	1	0.77260691529758	0.880205639200546	0.0586235057965137	0.662412977331832	0.368086607606362	0.273697435577284	0.662412977331832	0.22130456766883	0.383206145166566	0.214456334314578	0.516339449054625	0.267287952726737	0.592599868199769	0.77260691529758	0.516339449054625	1	0.216110454247247	0.777732047824432	0.383206145166566	0.114809094775926	1	1	0.368086607606362	0.946275096291388	1	0.779848006759378	0.635758438977733	0.823897870066295	0.471099677104302	0.338483359203043
1:11025208:11030179:clu_5_+	1	1	1	0.418218447234605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.163310422307425	0.835729419376636	1	1	0.531498719028754	1	1	1	1	1	1	1	1	1	0.222686926972473
1:11025665:11029687:clu_5_+	1	0.417691794530559	1	1	1	1	1	1	0.283737085720331	1	1	1	1	1	1	0.334198123303432	0.919020220368157	1	1	0.806491408145587	1	1	0.504708344732453	1	1	1	1	1	1	0.109485294872449	1	1	1
1:11029781:11029902:clu_5_+	0.894294510515069	1	0.220093711817573	0.722794844100857	0.631807062113918	0.344895556718286	1	0.684395565333356	0.187875307020433	0.880336025599182	0.0936643122690035	0.454058727803786	1	0.205355839885935	0.783094984361786	0.52091823780324	1	0.546732591428547	0.833292833275183	1	0.684395565333356	0.454058727803786	0.0177377190824199	1	0.783094984361786	0.684395565333356	0.894294510515069	0.684395565333356	1	1	0.381590661649829	0.894294510515069	1
1:11029781:11030179:clu_5_+	1	1	1	0.487694918988519	0.914860124060623	0.957208507712377	1	1	1	1	0.373988648729356	1	1	1	1	1	0.201697086870777	0.538057216611359	0.980577847917869	0.742179840856231	1	1	0.447481280210623	1	1	1	1	1	1	1	1	1	1
1:94021951:94023386:clu_6_-	0.884411724255606	0.943693801320681	0.586601373792718	0.407394692503263	0.967202332151135	0.676178038760512	0.436513778209571	0.833190784435312	0.833190784435312	0.589683554790014	0.215475775989205	1	0.620279097576034	0.934135605908956	1	0.920842126635425	0.659520677320127	1	0.943693801320681	0.575151326158349	0.949805449764641	0.442814487476412	0.664328772637372	0.334568276493278	0.788544842470664	1	0.7054021158633	0.32636664979569	0.83040447856434	0.723803541259072	0.921258994960779	0.645072787755316	0.898381630131091
1:94021951:94030996:clu_6_-	1	1	0.226422932811222	0.0601998764720639	1	1	1	1	1	1	0.99760032413666	1	0.404026139180715	1	1	1	1	0.207170701633861	1	1	0.98840779219619	0.226422932811222	0.992988087523119	0.992988087523119	1	1	1	1	1	1	1	1	1
1:94030526:94030996:clu_6_-	0.956480137480493	1	0.835839868883123	0.829552645251824	0.885460542702801	0.754302892759843	0.505921263004925	0.750079728956371	0.750079728956371	0.662280106379141	0.261764197845441	0.992534615865828	0.481828041828635	1	0.950073427326237	0.84048579072341	0.584784871331105	0.795740805152215	1	0.506566554176493	1	0.667003231486955	0.752566239087856	0.39697102780096	0.707567685970145	0.932569337415945	0.626360763829302	0.274662646641111	0.750392740649123	0.805971281612314	0.8392868069291	0.725560323895026	0.984198048453181
1:94029627:94030428:clu_7_-	0.978250046152752	0.983469314717545	0.661620422876562	0.00899737331140238	0.928198586993019	0.0197649566830069	1	0.988728883987634	1	0.988728883987634	1	0.957769074935928	0.44243775874774	1	0.928198586993019	0.830534409091757	0.933033595352061	0.131372030346817	0.967931026697955	0.952746148140915	1	0.287087441113292	0.962830588103875	0.952746148140915	0.952746148140915	0.947761470685904	1	1	0.933207982755007	0.822422075644673	1	1	1
1:94029631:94030428:clu_7_-	0.608563353762516	1	1	0.119799276288618	0.877712657546976	0.972293738068257	0.592530371313646	0.606322649309607	0.815401604587986	0.861624818399048	0.600305942817141	1	0.547895102371292	0.864181762423458	0.622885664229592	0.218663035310581	0.511774149144263	0.760570958783244	0.693088314648239	0.909017695779328	0.855765166187499	0.994569670723806	0.653291693508639	0.996995914321737	0.914971391571663	0.952557323664388	0.727358568723291	0.626040555876513	1	0.583304711671073	0.717863235913859	0.944879421611808	0.797116561643111
1:94029631:94031778:clu_7_-	1	1	0.600335542471435	0.00156286132741412	0.999044930138153	0.944632856665104	1	1	1	1	1	1	0.24066855592045	1	0.999044930138153	0.90264511505269	1	0.333734167455186	1	1	1	0.406073871947716	1	1	0.976886671806681	1	1	1	1	0.894589713336636	1	1	1
1:94031120:94031778:clu_7_-	0.45388446433152	0.902767458169631	0.872611136333376	0.475856944647796	0.681496390500281	0.547969621456823	0.447624544766298	0.777535237610115	0.980455720029941	0.683596169468775	0.764425617810391	0.851816334659936	0.936445340183165	1	0.813769438373036	0.347273805757937	0.687631689455472	0.757659788590429	0.877981487733807	0.982122834527519	0.684336165405196	0.609495981782543	0.83665674258445	0.89420661193529	0.807609331215632	0.936445340183165	0.899569551764128	0.480799379751011	0.976726726947102	0.799911767369624	0.559421680815401	0.775540376255393	0.641205132855466
1:94044744:94046919:clu_8_-	0.886766318324371	0.977721622883829	0.813713582685007	0.427071820885307	0.980674453730725	0.560439123520614	0.673582660037739	0.730887320348901	0.844159053284531	0.797862776776071	0.935878507240481	0.690155244631086	0.690155244631086	0.690155244631086	0.932311100469669	0.633140825496833	0.673582660037739	0.570855861046639	0.895088413959622	0.93420322155828	0.850140698504781	0.44220693648028	0.759978424686843	0.728161797013315	0.764915912163734	0.888514672645306	0.698806605454377	0.935079584629471	0.97740102699503	1	0.89350479780456	0.849827113541385	0.847678320371753
1:94045965:94046919:clu_8_-	0.886766318324364	0.977721622883806	0.813713582685013	0.427071820885281	0.980674453730732	0.560439123520616	0.673582660037762	0.730887320348909	0.844159053284554	0.797862776776065	0.935878507240469	0.690155244631079	0.690155244631079	0.690155244631079	0.932311100469675	0.63314082549681	0.673582660037762	0.570855861046627	0.89508841395961	0.934203221558271	0.850140698504792	0.442206936480265	0.75997842468684	0.728161797013336	0.764915912163725	0.888514672645283	0.698806605454376	0.935079584629465	0.977401026995027	1	0.893504797804569	0.849827113541373	0.847678320371757
1:94055315:94056601:clu_9_-	0.765211371950347	1	0.833402262477247	0.744579667788098	0.844608402567579	0.996076288121223	0.139968168638403	0.632128101858988	0.695653138887524	0.761219855074677	0.925334074198611	0.572620035808428	0.664072344820158	0.649891127771261	1	0.969761670953809	0.618311220095251	0.919056929826062	0.846031585465801	0.915594707382967	0.477715730239156	0.596185554373749	0.508310631331385	0.96802783370926	1	0.723140027817389	0.886180205900504	0.563652941097445	0.866467395474952	0.56452393039514	0.928250840481185	0.695806207444456	1
1:94055315:94060537:clu_9_-	0.903202661217717	0.928733505475357	0.971848819491447	0.844682790986896	0.874760491140343	0.701084152183118	0.522625294813054	0.943556747701584	0.979971244331961	0.902356499885941	0.902791705637647	0.955487025762568	1	0.557146112033758	0.98281181176386	0.929747190398998	0.902791705637647	0.819386446618257	0.638063874879881	0.465946615587507	0.125890017397757	0.698289851329078	0.722391778915573	0.851599745011283	0.903591330972827	1	0.929638318850788	0.86787310750138	0.969410628562706	0.795784610910539	0.865472018646355	0.642778259052387	0.753869499950322
1:94056822:94060537:clu_9_-	0.943807048101448	0.876853935551629	0.852746879094535	0.602962312441734	0.729466535897203	0.697701351291456	0.431582463217401	0.681221906656074	0.792514807277519	0.595673106264226	0.746269903972792	0.682622017550676	0.62361967406077	0.96940054747762	0.899857861640704	0.954564340738495	0.474189925243916	0.661006890658512	0.861278090774718	0.536484279954435	0.431925046859223	0.968200943773972	0.83588970218991	0.87507663408023	0.826955395437908	0.654255362644707	1	0.681221906656074	0.843847611159111	0.830263524769979	1	1	0.804663476581398
