RNA79.Aligned.sorted	RNA1.Aligned.sorted	RNA53.Aligned.sorted	RNA82.Aligned.sorted	RNA24.Aligned.sorted	RNA75.Aligned.sorted	RNA6.Aligned.sorted	RNA54.Aligned.sorted	RNA65.Aligned.sorted	RNA26.Aligned.sorted	RNA56.Aligned.sorted	RNA61.Aligned.sorted	RNA100.Aligned.sorted	RNA33.Aligned.sorted	RNA15.Aligned.sorted	RNA71.Aligned.sorted	RNA10.Aligned.sorted	RNA19.Aligned.sorted	RNA2.Aligned.sorted	RNA58.Aligned.sorted	RNA37.Aligned.sorted	RNA51.Aligned.sorted
1:11017007:11018380:clu_2_+	0.982432015390175	0.935914608471562	1	1	0.990014044475536	0.000548448870952178	1	1	1	1	1	1	1	0.948951788097554	0.932265127870753	0.977676121057777	1	1	1	1	0.974982146288356	1
1:11017007:11018733:clu_2_+	0.192514440638049	0.538469931060316	0.387491095885887	0.809043276785383	0.01294769205254	0.352021580382362	0.473511807881131	0.0243568625081902	0.077633676753037	0.0200573648721745	0.044334825416325	0.345150768992964	0.946776666219543	0.032940700530661	0.528090357376077	0.0528921591068613	0.00274246163416181	0.157463953807239	0.331897201338699	0.114132569876303	0.345199522741409	0.0149716858011524
1:11017007:11020429:clu_2_+	0.838000331572039	0.790378809162112	1	0.874003363745058	0.845810740900134	8.61581377340492e-05	0.879412139340875	0.999275588120258	0.92360319505375	0.116698173569327	0.910870925969858	0.88489112919039	1	0.803673519842884	0.78666455054932	0.0196820345482489	1	0.930546032050866	0.956647369959704	0.922742888681978	0.83033918757567	0.965058888596314
1:11018466:11018733:clu_2_+	0.808500560540195	0.677994720254432	0.941506911760099	0.972649818101258	0.733088897652356	0.85429146709404	0.766777582105037	0.888662164674525	0.811408260987604	0.115590559241323	0.427694995340314	0.772291218880193	0.244444260697606	0.687568578856611	0.674325061394744	0.720410005102494	0.902401744562413	0.905969005639287	0.663048517651787	0.810535935155034	0.717650508105719	0.853603036971955
1:11018873:11020429:clu_2_+	0.858380762147772	0.623885129571375	0.558378646706017	0.0407243457282804	0.557781612579649	0.556153463933125	0.790035719928487	0.0276728070804602	0.168100397074319	0.108837370679513	0.248105335916908	0.000145927366531415	0.593709046905218	0.0874392262843207	0.544898648053777	0.6051666754662	0.0868322316016313	0.176089952754662	0.00560329757833254	0.115993177231778	0.00226542885247927	0.529386624057478
1:11018873:11020434:clu_2_+	1	0.983585673568494	1	1	1	0.448911554936845	1	1	1	1	1	1	1	0.996441843324671	0.979984739591804	1	1	1	1	1	1	1
1:11018873:11022124:clu_2_+	0.993950964478119	0.95986319561337	1	1	1	0.971563943422926	1	1	1	1	1	1	1	1	0.61740143566746	1	1	1	1	1	0.998657344800508	1
1:11020301:11020429:clu_2_+	0.92804242174412	0.880919340264034	1	0.96345797122033	0.935740477405653	0.40970218372825	0.968763316769973	1	1	0.949375675427431	0.999543918325012	0.974133558863606	1	0.894107676131346	0.872879945403226	0.00970549048867331	1	1	1	1	0.920483230585167	1
1:11020599:11022124:clu_2_+	0.475478134261369	0.595463412663086	0.38421823186329	0.106758798066389	0.590679445471533	0.215909074871029	0.187922730333938	0.290739164009438	0.480388072409884	0.373299416543518	0.312491856338435	0.00258369290635785	0.286412184797459	0.505405106707828	0.291595407008771	0.185323354741009	0.56955200757019	0.559586759182083	0.482027394815754	0.268479328037567	0.533966895534032	0.352441432370479
1:11022177:11023156:clu_3_+	1	1	1	1	1	1	1	0.459987420389629	1	1	1	1	1	1	1	1	1	1	1	0.039223030458742	0.90193045464032	1
1:11022177:11023193:clu_3_+	0.971651241153585	0.850099034478255	0.456971937613488	0.512875514723008	0.437662825029875	1	0.893587747451566	0.633352508724193	0.399453956567389	0.617844053502471	0.692522434104827	0.868831136340461	0.973114848255642	0.635731870889756	0.672435825616723	0.554746593685546	0.91897363176965	0.583562078358643	0.938812260472751	0.885496835534577	0.724699491543589	0.893587747451566
1:11022241:11023193:clu_3_+	1	1	0.676474236276149	1	0.651627140121417	0.0466162193368167	0.835451833505746	0.172085923138233	0.320854449927906	0.416085837681832	0.378309082419424	0.648775918833591	0.808170477245098	0.431779724790733	0.321367961708736	0.400971457203296	0.428640363324416	0.386416561810084	0.400971457203296	0.900545235260684	0.852260050009988	0.835451833505746
1:11022241:11023263:clu_3_+	1	1	0.839281290387023	0.0139526395573504	1	1	1	1	1	1	1	1	1	1	0.976016289806637	1	1	1	1	1	0.406652796666132	1
1:11022241:11024302:clu_3_+	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.149030267496976	1	1	0.994358940558159	1
1:11022250:11023193:clu_3_+	0.980539607044769	0.681996659167607	0.81741012777182	0.503699148391104	0.721545394864086	0.487678879232869	0.902618412130183	0.544146484246518	0.747670974562275	0.52644886864855	0.701499982804781	1	1	0.644572382788118	0.0184638186671773	0.609183192844516	0.927967389917832	0.0667461291446609	0.545899808709418	1	0.367572356195836	0.902618412130183
1:11022250:11023263:clu_3_+	0.51803449234716	1	0.614283228529435	0.422139571527065	0.388015434921265	0.752674044389382	1	0.59547461969385	0.0797242786687709	0.0199734268504328	0.307638854846372	0.926917277907272	0.940179784046131	0.142803650614364	0.0525090141476453	1	1	0.188158013967237	0.589319701856913	0.130395530354788	0.0714940509086885	0.756523915438457
1:11022250:11025110:clu_3_+	1	0.700904932071534	1	1	1	1	1	1	1	1	1	0.206889321519256	1	1	1	1	1	1	1	1	0.98514230999385	1
1:11022268:11023193:clu_3_+	1	1	1	1	1	1	1	0.170339256086523	1	1	1	1	1	1	1	1	1	1	1	1	0.994358920243903	1
1:11023329:11023867:clu_3_+	0.290921288716308	1	0.950028844774913	0.740743812640123	1	1	1	0.890460991830754	1	0.264656705403689	1	1	1	0.253054099714834	0.858283780877803	0.958339434220155	1	0.288316151662209	0.572137704972882	1	0.688271039443408	1
1:11023329:11024064:clu_3_+	0.300321598329031	0.435387507055661	0.357560678222264	0.786313761909716	1	0.954897319204657	0.386376872399586	0.426251934868358	0.761716910466025	0.288324313388367	0.980333347338028	0.930976061935665	0.488564582195598	0.488815952645927	0.696260059505468	0.103747538965062	0.63074306112814	0.357286122412864	1	1	0.238129295028198	1
1:11023329:11024302:clu_3_+	1	1	1	0.986115509646925	1	1	1	1	0.286631952262801	1	1	1	1	1	1	1	1	1	1	0.0360898662418188	0.934149982956258	1
1:11023329:11025110:clu_3_+	1	0.175496754019097	1	1	1	1	1	1	1	1	1	0.682332847717081	1	1	0.558628696534409	1	1	0.485575204329617	1	1	0.812698658389357	1
1:11023667:11024064:clu_3_+	1	1	1	0.62753646065647	1	0.824561299531806	1	1	1	1	1	0.260454905121351	1	1	0.970214415246293	1	1	1	1	1	1	1
1:11024335:11025110:clu_3_+	1	0.693080201988578	0.728793297685939	1	0.765771789227622	0.204666483483945	0.89754233858362	0.696961692039205	0.216954755512518	0.35378076443673	1	0.942998476669856	1	0.625493493584993	0.0155814870987909	0.429128102839723	1	1	0.890068474362932	0.769023291227097	0.419802934662877	0.89754233858362
1:94021951:94023386:clu_6_-	0.399525193539664	0.741335623995297	0.716416229677587	0.940090915700526	0.891551535797938	0.699035795875726	0.441678104995017	0.486845581039287	0.936118791414992	0.98712047611055	0.979293909157734	0.327952891613188	1	0.624857025930736	0.990491738146668	0.406136114694032	0.699035795875726	0.547024467737843	0.782420902069681	0.794535814493789	0.860809129901312	0.82127468330011
1:94021951:94030996:clu_6_-	0.0172245789714514	0.9488901415952	0.983873930992544	0.354322920405223	0.953761520663252	0.732613626345632	0.354322920405223	0.953761520663252	0.333925541344932	0.880489117657355	0.925137963623602	0.925137963623602	0.897909636085104	0.939269634302838	0.999519445911111	0.925137963623602	0.939269634302838	0.973664993437108	0.934519629637538	0.994259351405102	0.953761520663252	0.939269634302838
1:94030526:94030996:clu_6_-	0.975770057751383	0.85042591800262	0.618726689797758	0.746187464184327	0.781838040948573	0.744709485190028	0.306795639484148	0.578762678253969	0.934279670001753	0.864361757219813	0.863317278667448	0.404825976241762	0.940583096387434	0.527347696564221	0.992306181745929	0.329101070076965	0.596227064631344	0.641285403503807	0.895126768885926	0.694441201677496	0.972302965760477	0.934279670001753
1:94029627:94030428:clu_7_-	0.113386852763711	0.909330978674686	0.941654490981602	0.351643902412818	0.840249034482971	0.364851658745689	0.789996025410511	0.941654490981602	0.538358902278963	0.898934635342295	0.888720571977306	0.898934635342295	0.840249034482971	0.863957152473475	0.909330978674686	0.964191175507332	0.873732627069509	0.863957152473475	0.0249118433012376	0.808724114958505	0.919913639961398	0.808724114958505
1:94029631:94030428:clu_7_-	0.427095890202405	0.995317160065625	0.896654494748065	0.46058985493	0.828112785491689	0.710431710316281	0.605824464189328	0.832868401932093	0.829436153609103	0.590599445532352	1	1	0.907391031843324	0.710431710316281	0.747147775387377	0.925849036198603	0.716920744269627	0.882804468885636	0.979026443317838	1	1	0.789107936523341
1:94029631:94031778:clu_7_-	0.00230939993738533	1	1	0.297732609306217	0.933705731415047	0.707975204731343	0.70290342099704	1	0.70290342099704	0.991385603745513	0.981381464470366	0.991385603745513	0.933705731415047	0.957066454180167	1	1	0.966675242484824	0.957066454180167	0.898197426033629	0.902515164849773	1	0.902515164849773
1:94031120:94031778:clu_7_-	0.305115715517145	0.774388845065353	0.690943178624294	0.854339117858013	1	0.485130257047472	0.693422425928247	1	0.658820569649609	0.799891825770723	0.77310898813025	0.857625860261551	0.927810512243261	0.941955317562959	0.966730722744577	0.96095050964549	0.511286287542976	0.655701748174461	0.441335489716678	0.805520104664786	0.861073255275986	1
1:94044744:94046919:clu_8_-	0.791185303674105	1	0.981928187369657	1	0.794546314587152	0.897922364276164	0.653909045146683	0.97478287006452	0.704552001901972	0.693428467026681	0.644303424322257	0.733958846478576	0.794546314587152	0.766368618096434	0.672215158032453	0.628191134470441	0.944037178076031	0.533307828923447	0.781959704896174	0.853543822759758	1	0.973037556228398
1:94045965:94046919:clu_8_-	0.791185303674117	1	0.981928187369686	1	0.794546314587183	0.897922364276152	0.653909045146694	0.974782870064509	0.704552001901969	0.693428467026667	0.644303424322269	0.733958846478562	0.794546314587183	0.766368618096441	0.672215158032441	0.628191134470415	0.944037178076061	0.533307828923446	0.781959704896144	0.853543822759754	1	0.973037556228376
1:94055315:94056601:clu_9_-	1	0.937944750998581	0.93849047403218	0.989345143873678	0.784191983620441	0.64414844406978	1	0.962245714064724	0.988876936844858	0.845669818249793	0.915245072744187	0.81943395419549	0.656873765360199	0.622915907761527	0.822245465460929	0.853857216771604	1	0.545419807068625	0.891103806409388	0.726631204234928	0.752331043960702	0.915371626540191
1:94055315:94060537:clu_9_-	0.944252117304743	0.868782577351855	0.919109158759188	1	0.868069950839485	0.609282518483446	0.629139414622547	0.770470473164943	0.743133243943635	0.748025579085567	0.88579672086883	0.944044353102492	1	1	0.551308926023513	0.800312970265429	0.816599019805709	0.192406226947557	0.910637627743774	0.847911438588467	0.876421094630811	0.864132109656086
1:94056822:94060537:clu_9_-	0.913888204236532	0.916418121644184	0.871821274348588	0.907010739005145	1	1	0.585305678079823	0.789717543255403	0.739523481472688	0.881876207714684	0.952374860447144	0.776804431700816	0.722492328835129	0.563483933665126	0.781527854057385	1	0.737507240709542	0.512477306863842	1	0.591644400434086	0.64400477476649	0.697413975639388
