RNA45.Aligned.sorted	RNA97.Aligned.sorted	RNA29.Aligned.sorted	RNA46.Aligned.sorted	RNA49.Aligned.sorted	RNA93.Aligned.sorted	RNA89.Aligned.sorted	RNA48.Aligned.sorted	RNA72.Aligned.sorted	RNA50.Aligned.sorted	RNA98.Aligned.sorted	RNA86.Aligned.sorted	RNA94.Aligned.sorted	RNA95.Aligned.sorted	RNA67.Aligned.sorted	RNA69.Aligned.sorted	RNA20.Aligned.sorted	RNA11.Aligned.sorted	RNA96.Aligned.sorted	RNA25.Aligned.sorted
1:11018466:11018733:clu_2_+	0.791425541119124	0.0957149939401436	0.903599528517495	0.99724997656945	0.828840476687571	0.754812779349646	0.760772488647249	0.8361283720506	0.43900060192505	0.490472612601135	0.815437995514012	0.82011511245989	0.760105317933612	1	0.878337797398304	0.809289784833458	0.645191795544293	0.983648644914403	0.770246521330382	0.565189765670533
1:11018873:11020263:clu_2_+	0.983062734317707	1	1	0.948682260959206	1	0.947393506106083	0.000744432680853668	1	0.815209085472067	0.987309823303705	1	1	0.952574409012741	0.903683738871829	1	1	0.96047723790895	0.964489181538188	0.962478098630169	0.92734031050492
1:11018873:11020429:clu_2_+	0.175497422753909	0.0689065129405786	0.812421564475409	1	0.00660829391743478	0.0586782349808841	0.0389316809742635	0.351151998612467	0.00281086484328017	0.789375641467091	0.504354651295161	0.22198398741371	0.0236682175561895	0.595475157045948	0.0892462776804149	0.218653410952517	0.994306746538194	0.231347328341987	0.00440924673663301	0.767879888233054
1:11018873:11020434:clu_2_+	0.943126413680204	0.971150543987298	1	0.908380714229987	0.979636058414043	0.907079686648397	3.42015304966026e-12	0.986710467400588	0.674726095545478	0.947423630596985	0.966594872082679	0.971150543987298	0.91231055360323	0.863015573198693	1	0.960598680451366	0.920292800252052	0.924346535847953	0.922314379869375	0.886848911402091
1:11018873:11022124:clu_2_+	1	1	1	1	1	1	1	1	1	1	1	1	1	0.966670270732483	1	1	0.577380260243083	0.973642774371904	1	0.9899315207656
1:11020301:11020429:clu_2_+	1	1	1	0.969044121869914	1	0.967762821506787	0.973562079080664	1	0.796219823735751	1	1	1	0.972913453052063	0.924275839785218	1	1	0.980768554679143	0.984755555029519	0.041908939288003	0.947819126786515
1:11020599:11021794:clu_2_+	1	0.397087876994326	1	1	1	1	1	1	1	1	1	1	1	0.976113860109585	1	1	1	1	1	0.99930351971891
1:11020599:11022124:clu_2_+	0.775542753527779	0.0377275320313843	0.520061045098761	0.360389808800002	1	0.634488221904755	0.128075262910301	0.31309550702202	0.193124553765483	0.199303053606095	0.430057115000175	0.0699993508798933	0.0958788383143541	0.162431577296402	0.890171816696869	0.937631325495867	0.343460589121298	0.141448469051285	0.0797492206085615	0.0834729408400772
1:11022177:11023156:clu_3_+	1	0.861272970261393	1	1	0.52430571896232	1	1	0.747397228191102	0.0398163717069762	0.884697501736189	1	1	1	1	1	1	0.947020152562381	1	0.88624923678257	1
1:11022177:11023193:clu_3_+	1	0.546703708913089	0.645594827142864	1	0.776070799185138	1	0.952843164026287	0.443960739604124	0.795376108828372	0.381698944066587	0.952843164026287	1	0.795376108828372	0.411842979837011	0.962100337671611	1	1	0.917038743564664	0.570233703935327	0.266144804771652
1:11022241:11023193:clu_3_+	1	0.771406813628636	1	0.0595795020107164	0.618595927854661	1	1	0.658501884099851	0.965907519811595	1	1	1	0.965907519811595	0.997568022733827	0.751787493119642	0.127225947641088	0.283318025410213	1	0.75009782451768	1
1:11022241:11023263:clu_3_+	1	0.981478444461469	1	1	0.82778792243172	1	1	0.0203985334286703	1	1	1	1	1	1	1	1	1	1	1	1
1:11022250:11023193:clu_3_+	0.664226342254211	0.507249467437815	0.735486326966338	0.814450901800069	0.46296711078298	1	0.814450901800069	0.973929860871668	0.566767295059344	0.867257662759963	0.814450901800069	1	0.600054660485378	0.530670260423954	0.901688960935412	0.901688960935412	0.600054660485378	0.100433145257286	0.778968207769001	0.696193404329551
1:11022250:11023263:clu_3_+	0.290108583944014	0.304245385545665	0.207857895742484	0.592902971850254	0.730671074844782	1	0.341699515941665	1	0.201521721495787	0.767591390292238	0.341699515941665	0.811960750002352	0.348740360045622	0.870987285374868	1	0.919277220282088	1	0.296655200384793	0.522410160822389	0.592902971850254
1:11022250:11023315:clu_3_+	1	0.996018538455695	0.00425985348611779	1	0.842698430193513	1	1	0.883645062583741	1	1	1	1	1	1	1	1	1	1	1	1
1:11023329:11023639:clu_4_+	1	1	1	1	0.928658050517584	1	1	1	0.0945649347357065	1	1	1	1	1	1	1	1	1	1	1
1:11023329:11023867:clu_4_+	0.679335981822928	1	0.297656016310437	1	0.635818318094914	0.333275862554815	1	1	0.679335981822928	0.938061362964492	0.889043288373353	1	0.218305079874868	0.762217278733308	0.889043288373353	1	1	0.938061362964492	0.762217278733308	0.889043288373353
1:11023329:11024064:clu_4_+	0.143358736794415	0.578219782563363	0.12428779773853	0.936347267635869	0.728331516637913	1	0.459477632264362	0.936347267635869	0.989702286854179	1	0.187037784912831	0.508035696342834	0.733887705991031	0.861429915781569	0.965582150878998	0.904536050755756	0.075495063467933	0.546341588648005	0.861429915781569	0.342065044507617
1:11023329:11024302:clu_4_+	1	0.326523453791198	1	1	0.698264619039635	0.242281404091223	1	1	0.833680228231543	1	1	1	0.330370598327527	0.911244301775653	1	1	1	1	0.911244301775653	0.489420979595444
1:11023329:11025110:clu_4_+	0.873344635551651	0.00860260524719392	1	1	0.737656082750445	1	1	0.450474350219562	0.873344635551651	1	1	1	0.616087516400712	1	1	1	1	0.87499653056391	0.950514979181273	1
1:11023667:11024064:clu_4_+	0.911497008314845	1	1	0.427720939861255	0.763017342185651	1	0.482698156156899	1	0.911497008314845	1	1	1	0.582107978619332	0.988109426903495	1	1	1	0.393968520152523	0.988109426903495	1
1:11024335:11025110:clu_4_+	1	0.103174348283944	0.206736102793056	0.384183857435904	0.361208940584953	0.396876702218922	0.928282928378817	0.384183857435904	0.626684127552466	0.293253138322916	1	0.151876342324927	0.108838091300365	0.956282679646605	0.379770173852774	0.973067093205955	0.175704791188551	0.558631604867491	0.67730706005661	0.206736102793056
1:11025208:11025551:clu_5_+	1	1	0.903319007732051	1	0.837027842011006	0.801017958232052	0.569911338722969	0.430631545151262	0.144109889174737	0.144109889174737	1	0.70129488395208	0.184230385278499	0.801017958232052	0.538161362381066	0.375551357014233	1	0.632568078102931	1	0.903319007732051
1:11025208:11029687:clu_5_+	1	0.650152274139516	0.0860129788970554	0.2287728891403	0.975335164646126	1	0.170101560420776	1	0.376503973078646	1	0.2287728891403	0.458932560335005	0.494442194390482	0.494442194390482	0.251756885147819	0.600249762911523	0.50632944750563	0.463937957628004	0.519315491825464	0.2287728891403
1:11025208:11030179:clu_5_+	1	1	1	1	1	1	0.0668957358576436	1	0.274246528946162	0.922691363555119	1	0.702534488084827	1	1	0.771005035957019	1	1	0.267093217459381	0.861775133751455	1
1:11025665:11029687:clu_5_+	1	1	1	1	1	1	0.770832308874073	1	1	1	1	0.34435837883332	1	0.354605198565461	0.911012531447984	0.354605198565461	1	0.81482524683507	1	0.728063210421701
1:11029781:11029902:clu_5_+	0.895834897884957	1	0.509504518814229	0.509504518814229	0.529705383272754	0.340688262756463	0.234946815821479	0.683745695525066	0.328309805893407	0.714874291501911	0.509504518814229	0.802402987182416	1	0.340688262756463	0.453898139375952	1	0.994392370292631	0.19159960679412	0.953020303359343	0.509504518814229
1:11029781:11030179:clu_5_+	0.585620131987568	0.0635290599052947	1	1	1	1	0.864858347806562	1	1	1	1	1	1	1	1	1	1	0.908683852776765	1	1
1:94021951:94023386:clu_6_-	0.941929488805773	0.356634351355228	0.522864946381188	0.815368799288255	1	0.826132728520007	0.896446582311727	0.942528657846096	0.861548426925093	0.982507456064307	1	0.845308908660516	0.905369834266372	0.930933363479378	0.644810860662877	0.699579731547991	0.686461047771188	0.729056247218751	1	0.858823738290619
1:94021951:94030996:clu_6_-	0.908539657452911	0.932468674389009	0.908539657452911	0.720849027302474	0.529254014569497	0.88558137092867	0.962539162968489	0.0366760125063905	0.757298775926613	0.932468674389009	0.899242708942008	0.962539162968489	0.867880068199656	0.962539162968489	0.9729066420844	0.927602726498589	0.967700871736462	0.486079581963192	0.77248231089666	0.927602726498589
1:94030526:94030996:clu_6_-	1	0.286776319148408	0.430955031379335	0.761832233088254	0.944093961958669	0.947203770468443	1	0.534977488747199	0.819101214954032	0.985684983810645	0.937385214403179	0.738716270953478	1	0.821860014120545	0.745287643145812	0.809807596064383	0.789912720941236	0.861730443447555	1	0.974061031140936
1:94029627:94030428:clu_7_-	0.809123636272598	0.789963890346305	0.7670009516557	0.635434709312512	0.697577811151803	0.758109438547426	0.7670009516557	0.0208904172482636	0.470118886108327	0.871190029444773	0.839261377562117	0.732390773772033	0.818978572699167	0.7994535557643	1	0.0481802699231348	0.854993540688661	0.474879632267333	0.854993540688661	0.785285357681645
1:94029631:94030428:clu_7_-	0.984479401713596	0.673653809266418	0.97950084024852	0.982626843336836	0.833062883827684	0.348120915268278	0.943041694580854	0.519855062950201	0.866851690837889	0.836302454166265	0.606534766124067	0.836251529312115	0.664708436084312	0.823827107829148	1	0.865018444316786	0.716104233433079	0.86727953614177	0.969281236337309	0.943314340348416
1:94029631:94031778:clu_7_-	0.936815148864763	0.917901472840944	0.895133604280214	0.765336817503072	0.408945032454941	0.886287776157768	0.895133604280214	0.0143990580874573	0.380447362064602	0.997584556839275	0.966416757284535	0.860605153790846	0.946514604360102	0.927278611906715	0.946514604360102	0.890692427883655	0.981798409863082	0.556042953499051	0.981798409863082	0.913271599163531
1:94031120:94031778:clu_7_-	0.83656621025621	0.931625290104213	0.711119863094581	0.859162529715698	0.616303485029277	0.553834843031582	0.860263012126858	0.206287772429839	0.553834843031582	0.610232328216364	0.40629087596153	0.572382201665936	0.912731268664951	0.993684839749389	0.839963286028154	0.72271517643622	0.500876661007942	0.954874977589654	0.727593977316324	0.867384374568986
1:94044744:94046919:clu_8_-	1	0.951493371555934	0.850265475438365	0.445736016711172	0.92950416943637	1	0.88750659955154	0.830273747423399	0.827381070255007	0.477717717556325	0.542554219748129	0.941419843770841	0.984075228546427	0.434275141754241	0.896750012017819	1	0.996386399335755	0.909776756540405	0.826176388726651	0.902359397138993
1:94045965:94046919:clu_8_-	1	0.951493371555956	0.850265475438327	0.445736016711193	0.92950416943634	1	0.887506599551518	0.830273747423415	0.827381070255037	0.477717717556341	0.542554219748096	0.941419843770841	0.984075228546458	0.434275141754216	0.896750012017812	1	0.996386399335785	0.909776756540372	0.826176388726621	0.902359397139023
1:94055315:94056601:clu_9_-	0.509383816312987	0.967605983656445	0.792514174913143	0.867282556729795	1	0.82459237855412	0.917282753081533	0.820527389275455	0.737689459291639	0.662593429233992	0.913358042940865	1	0.601832958878251	1	0.734018539977356	0.496848488767138	0.890896669911582	0.985565646875058	0.908568095250728	0.988705918585825
1:94055315:94060537:clu_9_-	0.550357111693476	0.84940674907855	0.872616713809667	0.668034013441312	0.585468450900682	0.792995008869759	0.895332462778034	0.647044681791218	0.818869217948588	0.949780930113809	0.974063058144314	0.927158404107786	0.84469225301338	0.956972881198045	0.744572454029436	0.861649342282429	0.857238876722115	0.73043330629667	0.68798601456451	0.634893479752729
1:94056822:94060537:clu_9_-	0.948942995317648	0.831779910021686	1	0.781048073576214	0.625840872089581	1	0.963204842127157	0.804933572957528	0.902076025830816	0.791719997638451	1	0.878528848795463	0.830118443219186	1	0.994845139903941	0.612821339126973	0.947861735872864	0.639455530844155	0.859150850121345	0.722032143197345
